gene_id,ig_rank,saliency_rank,gbp_rank,gs_rank
ENSG00000184478.6,612.7423296,399.3974475,399.3974475,1038.47975
ENSG00000164871.16,480.6865939,366.9700719,366.9700719,822.5831343
ENSG00000184895.7,791.1800254,361.0497136,361.0497136,1262.413939
ENSG00000176900.2,191.6273268,353.5625271,353.5625271,357.9929358
ENSG00000185823.3,1543.272937,329.6463924,329.6463924,1718.933864
ENSG00000169340.8,765.1479871,320.4673711,320.4673711,1054.209161
ENSG00000222036.6,410.0226027,319.2892163,319.2892163,701.3228988
ENSG00000168757.11,260.3780828,318.0187153,318.0187153,486.1739499
ENSG00000180424.6,366.6190184,314.1249445,314.1249445,660.3331745
ENSG00000150244.11,438.8660517,309.9162463,309.9162463,759.1075961
ENSG00000168830.7,1218.271102,303.3098184,303.3098184,1498.474545
ENSG00000135413.7,310.451164,302.3830856,302.3830856,556.0725003
ENSG00000184954.4,253.1121254,299.0148858,299.0148858,454.1360506
ENSG00000244588.4,1044.749584,298.2006707,298.2006707,1071.33817
ENSG00000189299.6,337.8996869,297.8877587,297.8877587,595.0621792
ENSG00000224659.2,161.090629,291.2412102,291.2412102,303.546453
ENSG00000203811.1,1185.663103,286.6993585,286.6993585,1367.024546
ENSG00000182187.3,380.8373597,285.8491108,285.8491108,648.6503368
ENSG00000145863.9,429.414906,285.7972534,285.7972534,680.7791318
ENSG00000230657.5,450.0723765,277.1542901,277.1542901,674.5677961
ENSG00000106410.13,586.7000837,276.6705997,276.6705997,893.0637852
ENSG00000104818.14,512.521802,275.2704211,275.2704211,833.9479409
ENSG00000151418.10,670.1988975,267.0086397,267.0086397,1045.041521
ENSG00000229183.7,253.0786274,260.7656204,260.7656204,453.1051783
ENSG00000176136.5,1040.539973,259.2990146,259.2990146,1131.90763
ENSG00000163254.4,407.3153458,252.6035175,252.6035175,679.7957481
ENSG00000255298.2,575.1326653,251.197984,251.197984,850.2356855
ENSG00000182712.14,332.5113612,249.0885684,249.0885684,590.879056
ENSG00000157060.13,761.2255178,248.7797686,248.7797686,911.0547987
ENSG00000256394.2,625.7136092,243.6258634,243.6258634,823.2465661
ENSG00000187569.2,602.4157142,243.3912321,243.3912321,918.3972589
ENSG00000118434.7,359.9257492,240.5698784,240.5698784,612.0204116
ENSG00000144010.8,290.558225,236.9755772,236.9755772,492.7994224
ENSG00000164853.8,323.2001904,233.5216505,233.5216505,534.024651
ENSG00000204019.4,1246.414735,229.9787362,229.9787362,1879.615998
ENSG00000162761.13,1523.968859,229.1509972,229.1509972,1433.366224
ENSG00000182798.9,2202.532294,228.6888988,228.6888988,1532.311857
ENSG00000006116.3,790.3773816,227.0497735,227.0497735,1032.166414
ENSG00000235942.2,240.3130071,223.6130424,223.6130424,434.3203448
ENSG00000276430.2,280.5622897,222.9214389,222.9214389,480.3445528
ENSG00000126545.12,447.922539,222.8852053,222.8852053,664.5254924
ENSG00000187258.12,1454.98793,222.5308195,222.5308195,1567.038322
ENSG00000095981.9,758.770938,221.6371471,221.6371471,1027.2481
ENSG00000204361.8,1341.84808,221.5658845,221.5658845,1090.407494
ENSG00000244057.3,225.824939,221.2046913,221.2046913,424.5741371
ENSG00000153266.11,785.3811968,220.6052495,220.6052495,1082.560205
ENSG00000143006.7,509.9546262,219.0720334,219.0720334,766.1803255
ENSG00000151033.8,438.6666667,218.6313609,218.6313609,681.7261562
ENSG00000215262.6,987.7332775,218.0185949,218.0185949,1070.816437
ENSG00000168619.14,635.7207097,217.1935431,217.1935431,887.5269104
ENSG00000135346.7,1581.963467,216.9982634,216.9982634,1566.446708
ENSG00000213218.8,308.7944167,214.8349917,214.8349917,508.9942488
