,ig_rank,saliency_rank,gs_rank
0,ENSG00000176900.2,ENSG00000198130.13,ENSG00000121680.14
1,ENSG00000224659.2,ENSG00000170473.15,ENSG00000148110.14
2,ENSG00000244057.3,ENSG00000159388.5,ENSG00000179912.18
3,ENSG00000154415.6,ENSG00000176410.7,ENSG00000130023.14
4,ENSG00000206105.2,ENSG00000013810.17,ENSG00000113761.10
5,ENSG00000251655.5,ENSG00000091527.14,ENSG00000148690.11
6,ENSG00000174914.1,ENSG00000104047.13,ENSG00000005175.8
7,ENSG00000228836.7,ENSG00000083642.17,ENSG00000109381.18
8,ENSG00000179142.2,ENSG00000115687.12,ENSG00000127527.12
9,ENSG00000186146.1,ENSG00000014123.9,ENSG00000147316.11
10,ENSG00000099721.12,ENSG00000180104.14,ENSG00000086848.13
11,ENSG00000187180.3,ENSG00000155926.12,ENSG00000240857.1
12,ENSG00000187223.3,ENSG00000143515.15,ENSG00000105700.9
13,ENSG00000168930.12,ENSG00000117054.12,ENSG00000122557.8
14,ENSG00000177257.2,ENSG00000115568.14,ENSG00000122965.9
15,ENSG00000196119.6,ENSG00000083097.13,ENSG00000092978.9
16,ENSG00000176294.4,ENSG00000112200.15,ENSG00000129696.11
17,ENSG00000180483.6,ENSG00000114125.12,ENSG00000063322.12
18,ENSG00000153779.9,ENSG00000144554.9,ENSG00000128694.10
19,ENSG00000187173.3,ENSG00000126254.10,ENSG00000087206.15
20,ENSG00000186190.7,ENSG00000088356.5,ENSG00000164631.17
21,ENSG00000171501.8,ENSG00000137965.9,ENSG00000136143.12
22,ENSG00000198573.6,ENSG00000172954.12,ENSG00000173163.9
23,ENSG00000109208.4,ENSG00000144426.17,ENSG00000117614.8
24,ENSG00000254466.1,ENSG00000263528.6,ENSG00000144535.18
25,ENSG00000249481.5,ENSG00000240344.7,ENSG00000032389.11
26,ENSG00000171209.3,ENSG00000162994.14,ENSG00000227345.7
27,ENSG00000161634.10,ENSG00000047230.13,ENSG00000007341.17
28,ENSG00000204897.6,ENSG00000130429.11,ENSG00000206562.10
29,ENSG00000080910.10,ENSG00000134490.12,ENSG00000049167.12
30,ENSG00000205678.6,ENSG00000170802.14,ENSG00000120688.8
31,ENSG00000187821.7,ENSG00000186469.7,ENSG00000115211.14
32,ENSG00000183862.5,ENSG00000221968.7,ENSG00000106459.13
33,ENSG00000008197.4,ENSG00000108854.14,ENSG00000105849.5
34,ENSG00000181965.5,ENSG00000144161.11,ENSG00000184056.13
35,ENSG00000168515.3,ENSG00000129197.13,ENSG00000156313.11
36,ENSG00000135222.6,ENSG00000147164.10,ENSG00000153487.12
37,ENSG00000106331.13,ENSG00000177595.16,ENSG00000163946.12
38,ENSG00000224109.1,ENSG00000262919.6,ENSG00000119953.11
39,ENSG00000204379.9,ENSG00000119950.19,ENSG00000164332.7
40,ENSG00000196406.4,ENSG00000198355.4,ENSG00000272047.1
41,ENSG00000237700.1,ENSG00000196526.9,ENSG00000196470.10
42,ENSG00000120289.11,ENSG00000187741.13,ENSG00000170325.13
43,ENSG00000204501.5,ENSG00000164073.8,ENSG00000155115.6
44,ENSG00000183269.5,ENSG00000172336.4,ENSG00000171566.10
45,ENSG00000174948.5,ENSG00000072274.11,ENSG00000187778.12
46,ENSG00000165584.14,ENSG00000175602.3,ENSG00000198042.9
47,ENSG00000163982.5,ENSG00000131495.7,ENSG00000141994.14
48,ENSG00000263761.2,ENSG00000188215.8,ENSG00000144566.9
49,ENSG00000243073.3,ENSG00000155959.9,ENSG00000086827.7
50,ENSG00000269096.5,ENSG00000099381.15,ENSG00000123178.13
51,ENSG00000170180.18,ENSG00000119397.15,ENSG00000153975.8
52,ENSG00000197487.7,ENSG00000138600.8,ENSG00000162384.12
53,ENSG00000125522.3,ENSG00000130244.11,ENSG00000187735.11
54,ENSG00000170820.10,ENSG00000100109.15,ENSG00000177370.4
55,ENSG00000204382.10,ENSG00000174456.12,ENSG00000183520.10
56,ENSG00000186844.5,ENSG00000198546.13,ENSG00000119965.11
57,ENSG00000069206.14,ENSG00000198586.12,ENSG00000103148.14
58,ENSG00000213231.11,ENSG00000038274.15,ENSG00000196455.6
59,ENSG00000240386.3,ENSG00000110092.3,ENSG00000198301.10
60,ENSG00000205777.16,ENSG00000168936.9,ENSG00000102967.10
61,ENSG00000178394.4,ENSG00000111859.15,ENSG00000113318.9
62,ENSG00000136697.11,ENSG00000149231.10,ENSG00000215193.11
63,ENSG00000151379.3,ENSG00000134775.14,ENSG00000066136.18
64,ENSG00000148386.8,ENSG00000104859.13,ENSG00000163798.12
65,ENSG00000163206.5,ENSG00000198824.5,ENSG00000115649.14
66,ENSG00000182645.5,ENSG00000155957.15,ENSG00000146576.11
67,ENSG00000188393.7,ENSG00000162623.14,ENSG00000129245.10
68,ENSG00000184351.7,ENSG00000115816.12,ENSG00000132024.16
69,ENSG00000227059.5,ENSG00000144579.6,ENSG00000184277.11
70,ENSG00000181552.3,ENSG00000142544.6,ENSG00000165526.7
71,ENSG00000125816.4,ENSG00000133315.9,ENSG00000166685.10
72,ENSG00000159455.8,ENSG00000115317.10,ENSG00000129911.7
73,ENSG00000171405.11,ENSG00000165732.11,ENSG00000134900.10
74,ENSG00000214415.3,ENSG00000134755.13,ENSG00000113575.8
75,ENSG00000179817.4,ENSG00000107651.11,ENSG00000135999.10
76,ENSG00000204612.1,ENSG00000158526.7,ENSG00000125352.5
77,ENSG00000166049.10,ENSG00000079819.15,ENSG00000102119.9
78,ENSG00000135355.3,ENSG00000131263.11,ENSG00000141644.16
79,ENSG00000164325.7,ENSG00000198315.9,ENSG00000147118.9
80,ENSG00000176979.11,ENSG00000133812.13,ENSG00000144895.10
81,ENSG00000169840.4,ENSG00000137834.13,ENSG00000164244.19
82,ENSG00000101812.11,ENSG00000153046.16,ENSG00000105726.15
83,ENSG00000197123.8,ENSG00000152939.13,ENSG00000134987.10
84,ENSG00000176746.6,ENSG00000082438.14,ENSG00000163719.17
85,ENSG00000185231.4,ENSG00000117620.11,ENSG00000144597.12
86,ENSG00000147613.6,ENSG00000128463.11,ENSG00000100263.12
87,ENSG00000203972.8,ENSG00000142546.12,ENSG00000133773.10
88,ENSG00000165588.15,ENSG00000120647.8,ENSG00000115966.15
89,ENSG00000146360.8,ENSG00000123444.12,ENSG00000099290.14
90,ENSG00000205649.6,ENSG00000174327.6,ENSG00000125386.13
91,ENSG00000136488.13,ENSG00000099889.12,ENSG00000171202.5
92,ENSG00000182898.3,ENSG00000012983.10,ENSG00000168890.12
93,ENSG00000124157.6,ENSG00000131831.16,ENSG00000113845.8
94,ENSG00000185940.10,ENSG00000103199.12,ENSG00000119979.14
95,ENSG00000260734.3,ENSG00000166200.13,ENSG00000115504.13
96,ENSG00000198854.5,ENSG00000118363.10,ENSG00000088035.14
97,ENSG00000172155.9,ENSG00000167302.8,ENSG00000152133.13
98,ENSG00000167194.6,ENSG00000130584.9,ENSG00000167257.9
99,ENSG00000164256.8,ENSG00000142065.12,ENSG00000168701.17
100,ENSG00000280969.1,ENSG00000167272.9,ENSG00000225921.5
101,ENSG00000186723.3,ENSG00000069399.11,ENSG00000168228.13
102,ENSG00000164900.4,ENSG00000114013.14,ENSG00000090487.9
103,ENSG00000080572.11,ENSG00000165996.12,ENSG00000110619.15
104,ENSG00000182816.7,ENSG00000037474.13,ENSG00000115282.18
105,ENSG00000204278.11,ENSG00000181027.9,ENSG00000130349.8
106,ENSG00000206127.9,ENSG00000139921.11,ENSG00000056050.6
107,ENSG00000269466.2,ENSG00000197903.7,ENSG00000038532.13
108,ENSG00000165970.10,ENSG00000168301.11,ENSG00000125846.14
109,ENSG00000111049.3,ENSG00000160013.7,ENSG00000133895.13
110,ENSG00000179709.7,ENSG00000065320.7,ENSG00000142856.15
111,ENSG00000182271.11,ENSG00000110060.7,ENSG00000152348.14
112,ENSG00000258713.2,ENSG00000177084.15,ENSG00000164051.12
113,ENSG00000152254.9,ENSG00000123552.16,ENSG00000105656.11
114,ENSG00000177354.10,ENSG00000265241.5,ENSG00000171953.14
115,ENSG00000188620.9,ENSG00000154889.15,ENSG00000122687.16
116,ENSG00000163424.7,ENSG00000058272.14,ENSG00000121022.12
117,ENSG00000186226.8,ENSG00000171425.8,ENSG00000079134.10
118,ENSG00000125861.13,ENSG00000275832.3,ENSG00000166454.8
119,ENSG00000234068.5,ENSG00000235106.7,ENSG00000141456.13
120,ENSG00000171195.9,ENSG00000111785.17,ENSG00000198162.11
121,ENSG00000125363.13,ENSG00000127220.5,ENSG00000137876.8
122,ENSG00000164600.5,ENSG00000108592.15,ENSG00000135249.6
123,ENSG00000188674.9,ENSG00000136940.12,ENSG00000136709.10
124,ENSG00000170935.6,ENSG00000164253.11,ENSG00000137806.7
125,ENSG00000189023.9,ENSG00000015475.17,ENSG00000170242.16
126,ENSG00000112273.6,ENSG00000007516.12,ENSG00000123737.11
127,ENSG00000149305.5,ENSG00000104679.9,ENSG00000215305.8
128,ENSG00000102021.9,ENSG00000067177.13,ENSG00000120616.14
129,ENSG00000120094.6,ENSG00000164880.14,ENSG00000166169.15
130,ENSG00000213030.5,ENSG00000033030.12,ENSG00000155975.8
131,ENSG00000101435.4,ENSG00000187678.8,ENSG00000126088.11
132,ENSG00000115488.3,ENSG00000259956.1,ENSG00000198900.5
133,ENSG00000203909.3,ENSG00000176170.12,ENSG00000119929.11
134,ENSG00000135577.4,ENSG00000174804.3,ENSG00000137601.14
135,ENSG00000168124.2,ENSG00000177683.12,ENSG00000110711.8
136,ENSG00000183463.5,ENSG00000120262.9,ENSG00000196663.14
137,ENSG00000112337.9,ENSG00000125945.13,ENSG00000136699.18
138,ENSG00000206531.9,ENSG00000169598.14,ENSG00000115761.14
139,ENSG00000099715.13,ENSG00000124641.13,ENSG00000160714.8
140,ENSG00000184999.10,ENSG00000164941.12,ENSG00000153339.12
141,ENSG00000198062.13,ENSG00000047249.15,ENSG00000176953.9
142,ENSG00000225110.1,ENSG00000127946.15,ENSG00000095794.18
143,ENSG00000244474.4,ENSG00000140945.14,ENSG00000110367.10
144,ENSG00000203663.3,ENSG00000065491.8,ENSG00000099804.7
145,ENSG00000219073.6,ENSG00000132964.10,ENSG00000132664.10
146,ENSG00000147596.3,ENSG00000112234.7,ENSG00000100014.18
147,ENSG00000159248.4,ENSG00000131724.9,ENSG00000155287.9
148,ENSG00000123584.7,ENSG00000186106.10,ENSG00000188070.9
149,ENSG00000205126.2,ENSG00000204435.12,ENSG00000132842.12
150,ENSG00000215397.3,ENSG00000130254.10,ENSG00000187609.14
151,ENSG00000268606.4,ENSG00000166352.14,ENSG00000151465.12
152,ENSG00000187791.10,ENSG00000066422.4,ENSG00000110422.10
153,ENSG00000229859.7,ENSG00000116903.7,ENSG00000103549.20
154,ENSG00000254656.1,ENSG00000172939.7,ENSG00000145723.15
155,ENSG00000106341.9,ENSG00000141013.13,ENSG00000213079.8
156,ENSG00000070748.16,ENSG00000138646.7,ENSG00000170515.12
157,ENSG00000109181.10,ENSG00000205629.10,ENSG00000005436.12
158,ENSG00000184388.5,ENSG00000149532.14,ENSG00000141098.11
159,ENSG00000237412.5,ENSG00000167967.14,ENSG00000151458.10
160,ENSG00000167355.6,ENSG00000047579.18,ENSG00000108061.10
161,ENSG00000183034.11,ENSG00000028528.13,ENSG00000087157.17
162,ENSG00000173627.7,ENSG00000153443.11,ENSG00000116586.10
163,ENSG00000196734.7,ENSG00000106086.17,ENSG00000078668.12
164,ENSG00000152034.9,ENSG00000197771.11,ENSG00000113360.15
165,ENSG00000186086.15,ENSG00000184584.11,ENSG00000164219.8
166,ENSG00000184108.6,ENSG00000166548.14,ENSG00000163807.5
167,ENSG00000187545.5,ENSG00000123595.6,ENSG00000101247.16
168,ENSG00000111701.6,ENSG00000102103.14,ENSG00000085998.12
169,ENSG00000142182.7,ENSG00000128536.14,ENSG00000163001.10
170,ENSG00000168928.11,ENSG00000167513.7,ENSG00000146063.17
171,ENSG00000170788.12,ENSG00000128739.19,ENSG00000172845.12
172,ENSG00000185966.3,ENSG00000151422.11,ENSG00000125703.13
173,ENSG00000157119.11,ENSG00000137500.8,ENSG00000105058.10
174,ENSG00000157131.10,ENSG00000047346.11,ENSG00000162600.10
175,ENSG00000236320.3,ENSG00000168246.5,ENSG00000086189.8
176,ENSG00000197430.9,ENSG00000115839.16,ENSG00000197841.13
177,ENSG00000143278.3,ENSG00000103351.11,ENSG00000138592.12
178,ENSG00000101323.4,ENSG00000148331.10,ENSG00000066044.12
179,ENSG00000163092.18,ENSG00000183386.8,ENSG00000091732.14
180,ENSG00000107187.14,ENSG00000175213.2,ENSG00000112511.16
181,ENSG00000242366.3,ENSG00000118482.10,ENSG00000163634.10
182,ENSG00000197658.8,ENSG00000156042.16,ENSG00000205544.3
183,ENSG00000168594.14,ENSG00000108798.7,ENSG00000105723.10
184,ENSG00000132703.3,ENSG00000162377.5,ENSG00000046647.12
185,ENSG00000166211.7,ENSG00000189227.5,ENSG00000182872.14
186,ENSG00000197901.10,ENSG00000108352.10,ENSG00000168872.14
187,ENSG00000178795.8,ENSG00000065060.15,ENSG00000134153.8
188,ENSG00000150783.8,ENSG00000175054.13,ENSG00000134049.4
189,ENSG00000269226.6,ENSG00000071073.11,ENSG00000101216.9
190,ENSG00000151360.8,ENSG00000127580.14,ENSG00000163138.17
191,ENSG00000163202.4,ENSG00000136897.7,ENSG00000124209.3
192,ENSG00000169836.4,ENSG00000134504.11,ENSG00000155636.13
193,ENSG00000177511.5,ENSG00000101966.11,ENSG00000127666.9
194,ENSG00000186329.8,ENSG00000112697.14,ENSG00000163481.6
195,ENSG00000196834.10,ENSG00000059691.10,ENSG00000073584.17
196,ENSG00000042813.6,ENSG00000163872.14,ENSG00000160746.11
197,ENSG00000175336.9,ENSG00000117906.12,ENSG00000234127.7
198,ENSG00000187151.6,ENSG00000162073.12,ENSG00000222011.7
199,ENSG00000173728.9,ENSG00000128563.12,ENSG00000065883.13
200,ENSG00000160224.15,ENSG00000006704.9,ENSG00000170876.7
201,ENSG00000129170.7,ENSG00000139278.8,ENSG00000151500.13
202,ENSG00000146809.11,ENSG00000132313.13,ENSG00000227500.8
203,ENSG00000205927.4,ENSG00000185989.10,ENSG00000110075.13
204,ENSG00000204655.10,ENSG00000135414.8,ENSG00000079387.12
205,ENSG00000196805.7,ENSG00000166037.9,ENSG00000071889.15
206,ENSG00000124232.9,ENSG00000198393.6,ENSG00000130734.8
207,ENSG00000130182.6,ENSG00000111602.10,ENSG00000157764.11
208,ENSG00000197641.10,ENSG00000028310.16,ENSG00000107077.16
209,ENSG00000123561.13,ENSG00000159579.12,ENSG00000168763.14
210,ENSG00000137392.8,ENSG00000112167.8,ENSG00000140750.15
211,ENSG00000227877.5,ENSG00000176024.15,ENSG00000169087.9
212,ENSG00000162843.16,ENSG00000180423.4,ENSG00000172766.17
213,ENSG00000162399.6,ENSG00000121486.10,ENSG00000179151.10
214,ENSG00000161973.9,ENSG00000175866.14,ENSG00000087502.16
215,ENSG00000234224.2,ENSG00000055044.9,ENSG00000139637.12
216,ENSG00000156574.8,ENSG00000171723.14,ENSG00000167491.16
217,ENSG00000124568.9,ENSG00000172466.14,ENSG00000083896.11
218,ENSG00000107831.11,ENSG00000130305.15,ENSG00000124532.13
219,ENSG00000169474.4,ENSG00000011009.9,ENSG00000130749.8
220,ENSG00000261794.1,ENSG00000137776.15,ENSG00000121766.13
221,ENSG00000243414.5,ENSG00000085662.12,ENSG00000072756.15
222,ENSG00000179774.8,ENSG00000164308.15,ENSG00000101161.7
223,ENSG00000174255.6,ENSG00000115946.6,ENSG00000162419.11
224,ENSG00000104848.1,ENSG00000133858.14,ENSG00000105127.7
225,ENSG00000066813.13,ENSG00000123607.13,ENSG00000140382.13
226,ENSG00000184984.9,ENSG00000095015.5,ENSG00000163702.17
227,ENSG00000171931.11,ENSG00000169902.12,ENSG00000179632.8
228,ENSG00000124103.8,ENSG00000106244.11,ENSG00000159593.13
229,ENSG00000176788.8,ENSG00000185973.9,ENSG00000182973.17
230,ENSG00000163606.9,ENSG00000068831.17,ENSG00000172671.18
231,ENSG00000139540.10,ENSG00000111077.16,ENSG00000136152.13
232,ENSG00000166473.15,ENSG00000145016.12,ENSG00000185122.9
233,ENSG00000250312.5,ENSG00000107140.14,ENSG00000184967.5
234,ENSG00000120280.5,ENSG00000143669.12,ENSG00000164897.11
235,ENSG00000124279.10,ENSG00000143977.12,ENSG00000205250.7
236,ENSG00000196873.14,ENSG00000171793.12,ENSG00000185049.11
237,ENSG00000121895.7,ENSG00000047410.12,ENSG00000165506.13
238,ENSG00000152495.9,ENSG00000271605.4,ENSG00000122299.10
239,ENSG00000181322.12,ENSG00000166902.4,ENSG00000150756.12
240,ENSG00000089692.7,ENSG00000139625.11,ENSG00000171148.12
241,ENSG00000127081.12,ENSG00000119203.12,ENSG00000171530.12
242,ENSG00000111729.11,ENSG00000008256.14,ENSG00000155097.10
243,ENSG00000015479.16,ENSG00000070371.14,ENSG00000185298.11
244,ENSG00000143633.11,ENSG00000163171.7,ENSG00000121741.15
245,ENSG00000105792.18,ENSG00000184271.14,ENSG00000213066.10
246,ENSG00000197779.12,ENSG00000166128.11,ENSG00000101972.17
247,ENSG00000092978.9,ENSG00000118046.13,ENSG00000104064.15
248,ENSG00000189042.12,ENSG00000090097.19,ENSG00000099940.10
249,ENSG00000128694.10,ENSG00000101057.14,ENSG00000117174.9
250,ENSG00000182141.8,ENSG00000111875.7,ENSG00000132275.9
251,ENSG00000122432.15,ENSG00000172465.12,ENSG00000166164.14
252,ENSG00000007341.17,ENSG00000108946.13,ENSG00000178177.13
253,ENSG00000206562.10,ENSG00000169519.18,ENSG00000126945.8
254,ENSG00000204390.9,ENSG00000188404.7,ENSG00000181396.11
255,ENSG00000108839.10,ENSG00000171448.8,ENSG00000166471.9
256,ENSG00000174483.18,ENSG00000187231.12,ENSG00000137161.15
257,ENSG00000185947.13,ENSG00000081154.10,ENSG00000087191.11
258,ENSG00000106459.13,ENSG00000011523.12,ENSG00000111790.12
259,ENSG00000105849.5,ENSG00000025708.11,ENSG00000136270.12
260,ENSG00000156313.11,ENSG00000141480.16,ENSG00000108840.14
261,ENSG00000128059.7,ENSG00000125656.7,ENSG00000082996.18
262,ENSG00000170325.13,ENSG00000198055.9,ENSG00000267680.4
263,ENSG00000269343.5,ENSG00000118260.13,ENSG00000205423.10
264,ENSG00000107890.15,ENSG00000138794.8,ENSG00000121775.16
265,ENSG00000150337.12,ENSG00000164252.11,ENSG00000130227.15
266,ENSG00000153975.8,ENSG00000132003.8,ENSG00000134480.12
267,ENSG00000119965.11,ENSG00000116539.9,ENSG00000109911.16
268,ENSG00000176896.8,ENSG00000113391.15,ENSG00000175387.14
269,ENSG00000198301.10,ENSG00000115271.9,ENSG00000128654.12
270,ENSG00000113318.9,ENSG00000123143.11,ENSG00000134686.15
271,ENSG00000258839.2,ENSG00000238227.6,ENSG00000154832.13
272,ENSG00000168491.8,ENSG00000068489.11,ENSG00000198839.8
273,ENSG00000163563.7,ENSG00000076003.4,ENSG00000132589.14
274,ENSG00000124766.5,ENSG00000141068.12,ENSG00000112701.16
275,ENSG00000129911.7,ENSG00000130956.12,ENSG00000104866.9
276,ENSG00000111913.14,ENSG00000105676.12,ENSG00000100519.10
277,ENSG00000118307.17,ENSG00000161013.15,ENSG00000188976.9
278,ENSG00000135999.10,ENSG00000204580.10,ENSG00000145348.15
279,ENSG00000147118.9,ENSG00000164808.15,ENSG00000166261.9
