gene_id,housekeeping_genes,high_corr,low_CV_rank,high_CV_rank,high_feature,tRNA_related,rRNA_ribosome,high_feature_2
ENSG00000000005.5,0,0,0,1,0,0,0,1
ENSG00000000419.11,1,0,0,0,0,0,0,0
ENSG00000000457.12,1,0,0,0,1,0,0,0
ENSG00000000460.15,0,1,0,0,0,0,0,0
ENSG00000000938.11,0,0,0,0,0,0,1,0
ENSG00000001084.9,1,0,0,0,0,0,0,0
ENSG00000001167.13,0,0,0,0,1,0,0,0
ENSG00000001461.15,0,0,0,0,0,0,1,1
ENSG00000001497.15,0,0,1,0,1,0,1,0
ENSG00000001617.10,0,0,0,0,1,0,0,0
ENSG00000001626.13,0,0,0,1,0,0,0,0
ENSG00000001629.8,0,0,0,0,1,0,0,0
ENSG00000001630.14,0,0,0,0,0,0,1,0
ENSG00000001631.13,0,0,0,0,1,1,0,0
ENSG00000002016.15,0,0,0,0,0,1,0,0
ENSG00000002330.12,1,1,0,0,1,0,0,0
ENSG00000002549.11,1,1,1,0,0,0,0,1
ENSG00000002726.18,0,0,0,1,0,0,0,1
ENSG00000002834.16,0,1,1,0,0,0,0,0
ENSG00000003056.6,1,1,0,0,0,0,0,0
ENSG00000003393.13,1,0,0,0,0,0,0,0
ENSG00000003402.18,0,0,1,0,0,0,0,0
ENSG00000003509.14,0,0,0,0,1,0,0,0
ENSG00000003756.15,1,0,1,0,0,0,0,0
ENSG00000004059.9,1,0,1,0,0,0,0,0
ENSG00000004142.10,1,0,1,0,0,0,0,0
ENSG00000004455.15,1,0,1,0,0,0,0,0
ENSG00000004478.7,0,0,1,0,0,0,0,0
ENSG00000004487.14,0,0,1,0,0,0,0,0
ENSG00000004534.13,1,0,1,0,0,0,0,0
ENSG00000004700.14,0,1,0,0,1,1,0,0
ENSG00000004766.14,0,0,0,0,1,0,0,0
ENSG00000004777.17,0,1,0,0,0,0,0,0
ENSG00000004779.8,0,0,1,0,0,0,1,0
ENSG00000004799.7,0,1,0,0,0,1,0,0
ENSG00000004809.12,0,0,0,1,0,0,0,0
ENSG00000004846.15,0,0,0,1,0,0,0,1
ENSG00000004848.6,0,0,0,1,0,0,0,1
ENSG00000004866.17,1,0,0,0,0,0,0,0
ENSG00000004897.10,1,1,1,0,0,0,1,0
ENSG00000004939.12,0,0,0,1,0,0,0,1
ENSG00000004948.12,0,0,0,1,0,0,0,0
ENSG00000004961.13,1,0,0,0,0,0,1,0
ENSG00000004975.10,0,0,0,0,1,0,0,0
ENSG00000005007.11,1,0,1,0,1,0,0,0
ENSG00000005022.5,1,1,1,0,0,1,0,1
ENSG00000005059.14,0,1,0,0,0,0,0,0
ENSG00000005073.5,0,0,0,1,0,0,0,0
ENSG00000005075.14,1,1,0,0,0,1,0,0
ENSG00000005100.11,1,0,0,0,1,0,0,0
ENSG00000005108.14,0,1,0,0,0,0,0,0
ENSG00000005156.10,1,0,0,0,1,0,0,0
ENSG00000005175.8,1,1,0,0,1,0,0,0
ENSG00000005189.18,0,0,0,0,0,0,1,0
ENSG00000005194.13,0,0,1,0,0,0,0,0
ENSG00000005206.15,1,1,0,0,0,0,0,0
ENSG00000005249.11,0,0,0,0,0,1,0,0
ENSG00000005302.16,1,0,0,0,0,0,0,0
ENSG00000005339.11,0,0,1,0,1,1,0,0
ENSG00000005379.14,0,1,0,0,0,0,0,0
ENSG00000005381.7,0,0,0,1,0,0,0,1
