,gene_set,gene_number, random_state,epoch,train/test,loss,SmoothL1Loss,SmoothL1Loss_rank,pearson,mae,mse,rmse,spearman
2001,low_CV_rank,50,1.0,1000,Test,103.67,1031.398,126.463,0.688,1031.88,3904782.5,1976.052,0.772
4003,low_CV_rank,100,1.0,1000,Test,105.513,1063.397,129.914,0.662,1063.879,4253667.0,2062.442,0.754
6005,low_CV_rank,200,1.0,1000,Test,99.357,1022.56,127.829,0.696,1023.04,3773870.75,1942.645,0.772
8007,low_CV_rank,400,1.0,1000,Test,76.774,778.431,126.29,0.823,778.915,2006124.25,1416.377,0.857
10009,low_CV_rank,600,1.0,1000,Test,68.207,691.852,126.415,0.866,692.341,1473425.125,1213.847,0.867
12011,low_CV_rank,800,1.0,1000,Test,63.027,648.134,126.316,0.919,648.624,1005049.812,1002.522,0.903
14013,low_CV_rank,1000,1.0,1000,Test,61.854,643.626,124.568,0.93,644.114,927845.875,963.248,0.902
16015,low_CV_rank,1500,1.0,1000,Test,60.65,610.105,125.803,0.937,610.595,826412.438,909.072,0.913
18017,low_CV_rank,2000,1.0,1000,Test,62.669,621.649,126.352,0.913,622.136,1004655.0,1002.325,0.911
20019,low_CV_rank,2500,1.0,1000,Test,58.919,566.513,125.707,0.941,567.001,754247.875,868.474,0.927
22021,low_CV_rank,2900,1.0,1000,Test,62.29,658.395,126.531,0.925,658.882,979654.938,989.775,0.897
24023,low_CV_rank,50,2.0,1000,Test,88.198,923.739,128.142,0.767,924.223,2760599.0,1661.505,0.813
26025,low_CV_rank,100,2.0,1000,Test,83.735,854.573,126.35,0.787,855.054,2440820.0,1562.312,0.839
28027,low_CV_rank,200,2.0,1000,Test,90.705,930.625,128.466,0.736,931.108,3063674.75,1750.336,0.805
30029,low_CV_rank,400,2.0,1000,Test,78.798,796.654,126.622,0.788,797.143,2335482.75,1528.229,0.834
32031,low_CV_rank,600,2.0,1000,Test,69.679,715.644,127.267,0.859,716.131,1585450.625,1259.147,0.874
