Primary.Site,Case.ID,tissue
Adrenal gland,TCGA-OR-A5J1-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5J2-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5J3-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5J5-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5J6-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5J7-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5J8-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5J9-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JA-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JB-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JC-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JD-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JE-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JF-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JG-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JI-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JJ-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JK-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JL-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JM-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JO-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JP-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JQ-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JR-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JS-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JT-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JV-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JW-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JX-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JY-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5JZ-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5K0-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5K1-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5K2-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5K3-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5K4-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5K5-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5K6-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5K8-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5K9-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5KO-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5KT-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5KU-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5KV-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5KW-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5KX-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5KY-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5KZ-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5L3-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5L4-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5L5-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5L6-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5L8-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5L9-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LA-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LB-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LC-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LD-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LE-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LG-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LH-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LJ-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LK-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LL-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LM-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LN-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LO-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LP-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LR-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LS-01A,Adrenal gland
Adrenal gland,TCGA-OR-A5LT-01A,Adrenal gland
Adrenal gland,TCGA-OU-A5PI-01A,Adrenal gland
Adrenal gland,TCGA-P6-A5OF-01A,Adrenal gland
Adrenal gland,TCGA-P6-A5OG-01A,Adrenal gland
Adrenal gland,TCGA-PA-A5YG-01A,Adrenal gland
Adrenal gland,TCGA-PK-A5H8-01A,Adrenal gland
Adrenal gland,TCGA-PK-A5H9-01A,Adrenal gland
Adrenal gland,TCGA-PK-A5HA-01A,Adrenal gland
Adrenal gland,TCGA-PK-A5HB-01A,Adrenal gland
Bladder,TCGA-2F-A9KO-01A,Bladder
Bladder,TCGA-2F-A9KP-01A,Bladder
