gene_id,Cerebellum Astrocytes,Cerebellum Granule neurons,Cerebellum Inhibitory interneurons,Cerebellum Microglia,Cerebellum Oligodendrocytes,Cerebellum Purkinje neurons,Cerebellum SLC24A4_PEX5L positive cells,Cerebellum Unipolar brush cells,Cerebrum Astrocytes,Cerebrum Excitatory neurons,Cerebrum Inhibitory neurons,Cerebrum Limbic system neurons,Cerebrum Microglia,Cerebrum Oligodendrocytes,Cerebrum SKOR2_NPSR1 positive cells,Eye Amacrine cells,Eye Bipolar cells,Eye Ganglion cells,Eye Horizontal cells,Eye PDE11A_FAM19A2 positive cells,Eye Photoreceptor cells,Eye Retinal pigment cells,Eye Retinal progenitors and Muller glia,Intestine ENS neurons,Heart Visceral neurons,Lung Neuroendocrine cells,Lung Visceral neurons,Pancreas ENS neurons,Intestine Chromaffin cells,Intestine Intestinal epithelial cells,Lung Squamous epithelial cells,Muscle Myeloid cells,Adrenal Adrenocortical cells,Adrenal Chromaffin cells,Adrenal Erythroblasts,Adrenal Lymphoid cells,Adrenal Megakaryocytes,Adrenal Myeloid cells,Adrenal Schwann cells,Adrenal Stromal cells,Adrenal Sympathoblasts,Adrenal Vascular endothelial cells,Cerebellum Vascular endothelial cells,Cerebrum Vascular endothelial cells,Eye Stromal cells,Eye Vascular endothelial cells,Heart Cardiomyocytes,Heart ELF3_AGBL2 positive cells,Heart Endocardial cells,Heart Epicardial fat cells,Heart Lymphatic endothelial cells,Heart Lymphoid cells,Heart Megakaryocytes,Heart Myeloid cells,Heart SATB2_LRRC7 positive cells,Heart Schwann cells,Heart Smooth muscle cells,Heart Stromal cells,Heart Vascular endothelial cells,Intestine ENS glia,Intestine Lymphatic endothelial cells,Intestine Lymphoid cells,Intestine Mesothelial cells,Intestine Myeloid cells,Intestine Smooth muscle cells,Intestine Stromal cells,Intestine Vascular endothelial cells,Kidney Lymphoid cells,Kidney Mesangial cells,Kidney Metanephric cells,Kidney Myeloid cells,Kidney Stromal cells,Kidney Ureteric bud cells,Kidney Vascular endothelial cells,Liver Erythroblasts,Liver Hematopoietic stem cells,Liver Hepatoblasts,Liver Lymphoid cells,Liver Megakaryocytes,Liver Mesothelial cells,Liver Myeloid cells,Liver Stellate cells,Liver Vascular endothelial cells,Lung Bronchiolar and alveolar epithelial cells,Lung Ciliated epithelial cells,Lung Lymphatic endothelial cells,Lung Lymphoid cells,Lung Megakaryocytes,Lung Mesothelial cells,Lung Myeloid cells,Lung Stromal cells,Lung Vascular endothelial cells,Muscle Satellite cells,Muscle Schwann cells,Muscle Skeletal muscle cells,Muscle Smooth muscle cells,Muscle Stromal cells,Muscle Vascular endothelial cells,Pancreas Acinar cells,Pancreas CCL19_CCL21 positive cells,Pancreas Ductal cells,Pancreas ENS glia,Pancreas Erythroblasts,Pancreas Islet endocrine cells,Pancreas Lymphatic endothelial cells,Pancreas Lymphoid cells,Pancreas Mesothelial cells,Pancreas Myeloid cells,Pancreas Smooth muscle cells,Pancreas Stromal cells,Pancreas Vascular endothelial cells,Placenta Extravillous trophoblasts,Placenta IGFBP1_DKK1 positive cells,Placenta Lymphoid cells,Placenta Myeloid cells,Placenta PAEP_MECOM positive cells,Placenta Smooth muscle cells,Placenta Stromal cells,Placenta Syncytiotrophoblasts and villous cytotrophoblasts,Placenta Trophoblast giant cells,Placenta Vascular endothelial cells,Spleen Erythroblasts,Spleen Lymphoid cells,Spleen Mesothelial cells,Spleen Myeloid cells,Spleen STC2_TLX1 positive cells,Spleen Stromal cells,Spleen Vascular endothelial cells,Stomach Ciliated epithelial cells,Stomach Goblet cells,Stomach Lymphoid cells,Stomach MUC13_DMBT1 positive cells,Stomach Neuroendocrine cells,Stomach Parietal and chief cells,Stomach Squamous epithelial cells,Stomach Stromal cells,Stomach Vascular endothelial cells,Thymus Antigen presenting cells,Thymus Thymic epithelial cells,Thymus Thymocytes
tRNA-Asn-GTT-5-1,5.208528,5.8075585,6.9873366,6.7234097,5.343044,6.9679213,5.305237,5.448601,6.265634,7.188314,7.368463,6.0184836,6.1719313,4.742405,6.3745923,6.9240546,7.02589,6.742605,6.853391,8.03355,7.4025636,6.906819,7.7610784,6.3484073,7.0871544,6.859701,7.0756564,6.8883657,7.4526887,6.436489,7.119589,7.075559,7.5006676,6.3323293,7.046929,6.85308,7.4158387,6.5185676,4.738317,7.513774,5.3862367,6.7358437,4.7909813,5.736081,5.572568,8.348757,6.7084336,7.8130393,7.251787,6.178364,6.8204536,7.542528,6.6770434,7.282901,6.7553716,6.8657985,7.0759892,7.8751745,6.9586673,6.322706,6.4882402,7.2105484,6.775436,6.599976,6.8617964,6.4587145,6.3261304,6.1320944,6.048993,5.870693,6.4987803,7.1016145,5.4325433,5.2285795,7.492882,7.759299,5.910757,7.438554,7.5441155,5.819615,7.4555025,6.7688527,6.576281,7.2224197,8.223182,6.960195,6.8941603,6.421554,6.525852,6.62382,7.756385,7.214078,6.94858,5.3306594,7.052617,6.5793896,7.359651,6.734889,7.184641,6.630842,6.7365203,6.633894,6.9932146,5.936661,7.3276477,6.959912,7.0056205,6.6121235,6.1750436,6.278895,6.261748,6.7732167,5.810314,8.032913,6.2136483,6.3851366,6.323056,7.965927,5.951257,6.9961023,7.7176275,6.874299,6.8596096,7.1924987,6.008206,6.6100163,6.8890457,6.969451,8.069591,7.1166663,6.8853445,5.985193,6.9607844,7.675912,6.6468983,6.1388774,5.5730867,6.410934,7.94666,8.362007
tRNA-Glu-TTC-4-1,8.849355,8.77922,8.595263,8.563382,8.80773,8.765081,9.256316,8.773469,8.372966,8.127501,8.705144,8.99073,8.432621,8.911838,8.030179,8.647711,9.07584,8.495243,8.877145,8.720022,8.676102,8.864936,8.890543,9.1132,8.822283,8.362372,8.986313,8.097446,8.482368,8.895597,8.88818,8.595953,8.345915,8.18526,9.222835,8.355156,8.981343,8.971843,9.036955,8.362998,8.942906,8.296061,8.71302,8.343574,8.389826,8.957447,8.127063,8.828172,8.158287,8.077191,8.461471,7.991581,8.113807,8.293907,9.633354,8.310415,8.810116,8.665611,8.913124,8.60504,8.107832,8.437208,8.497431,8.735752,8.191119,8.341554,9.237182,8.852779,8.400775,9.707308,8.010114,8.70678,8.505119,8.502064,9.048441,8.763994,8.506184,8.654683,9.364567,8.86108,8.472014,9.101341,8.951515,9.378308,8.81274,8.37214,7.548683,8.690217,8.213875,7.9930077,8.679059,8.724071,8.75041,9.01028,8.949469,8.897546,7.7113805,8.8191185,8.579603,8.427612,8.768595,8.704197,9.757473,8.6148405,8.679744,8.278528,8.157903,8.619903,8.18197,8.43262,8.48011,8.428899,9.161856,8.58708,8.136519,8.702151,8.4712305,8.164884,8.400459,8.591972,8.929654,9.953847,8.73187,8.340035,7.893176,9.576215,9.067113,7.5909204,9.273702,8.669718,8.50527,8.831603,9.080065,8.245962,8.749695,8.6469965,9.040099,8.412143,8.185121,8.077117
tRNA-Glu-TTC-4-2,8.531317,9.201511,8.810052,9.089078,8.930564,7.9517574,9.330235,8.767261,8.904806,9.177342,8.083986,9.159993,8.802162,8.804456,7.661985,9.298707,8.074456,8.2495165,9.784233,8.718529,8.863891,7.8780355,8.502128,9.517647,8.346494,8.053139,9.22536,8.093557,7.605266,9.042841,8.888026,9.342578,8.475076,7.579205,9.022728,8.8741455,9.25161,9.20788,8.771704,7.6889467,8.707153,9.353593,6.926322,7.9243174,8.6656885,9.104551,8.364128,8.494529,8.433137,7.8721623,8.548589,7.7985096,8.959804,8.760817,9.192131,8.286915,8.334773,8.35072,8.710175,7.700014,7.748405,8.258282,9.094607,9.63496,7.6996036,8.813537,8.513032,8.819035,7.5660706,9.272502,7.796282,8.784711,8.01329,8.744876,10.183018,9.049408,8.911691,8.4726715,8.574542,9.275928,9.556646,9.702425,9.391754,9.600785,7.782292,8.74645,7.58679,8.797907,8.272849,8.904616,8.878035,8.996451,8.347478,9.201592,9.352776,8.068526,8.362057,8.300638,8.375209,8.405789,9.021639,8.345384,8.930693,8.095107,9.305525,8.270635,8.207672,8.163271,7.791781,8.840718,8.328008,7.8260136,8.405658,8.474916,8.251852,8.8503,7.3857474,7.5846252,8.219212,8.772164,8.493016,9.385976,8.627763,8.660229,8.352567,8.917037,9.449611,8.454574,9.59924,8.92767,8.704413,9.304935,8.329009,8.713634,8.440299,8.380282,9.204475,9.0510235,7.684891,8.258578
tRNA-Gly-CCC-1-1,12.959201,12.424205,12.435465,12.963707,12.749325,12.096919,11.848831,12.325553,12.865757,12.239948,12.543545,12.230303,13.321481,12.930869,12.335293,12.392079,12.641247,12.605114,12.724214,12.956018,13.143903,12.722338,12.449455,13.089644,13.360128,12.478315,12.251448,12.362489,13.4067745,12.982597,11.906917,13.07594,14.366599,13.872004,13.062933,13.682971,13.209594,13.4005575,13.541193,13.354693,13.280054,13.647439,13.413304,12.964305,14.286506,13.221575,13.102035,12.885878,12.966433,13.019058,12.929331,12.73771,13.219743,13.400833,12.929162,12.857998,13.488548,13.2237015,13.180356,12.321546,11.9955635,13.050445,12.922668,12.251098,12.437116,12.773602,13.037217,13.411116,12.73059,12.600266,13.422524,13.032927,12.137812,13.0547285,12.856621,12.355398,13.07627,13.29447,13.235386,13.445283,12.69674,13.637732,12.994819,12.591781,13.232028,13.137859,12.919291,13.210107,13.688989,12.899604,12.911449,12.894661,13.284417,12.583761,12.785963,13.340952,13.087916,13.205226,13.31591,13.108792,12.764336,13.157216,12.842125,13.391061,13.515374,13.619864,12.302522,12.889132,13.043985,13.213218,13.489827,12.924313,12.338528,12.379359,13.477961,12.756395,13.05171,13.286428,14.001854,12.423756,12.903722,12.916961,13.003101,13.716519,12.6898155,12.822818,13.321494,12.838186,11.763896,12.652738,13.522497,12.176077,12.7377615,12.592526,11.322764,12.966098,13.512043,13.005341,12.736052,13.361975
tRNA-Gly-CCC-1-2,12.698406,12.7943535,13.305715,13.223969,12.9718685,12.627934,12.857874,12.939828,12.616793,12.736167,12.834424,12.569476,13.318659,12.93752,12.719893,12.876495,12.930312,12.625726,12.8766775,12.84829,13.001457,12.517233,12.577754,13.362645,13.141613,13.2063265,12.867416,12.909354,12.825938,13.070801,12.878699,13.319902,13.436891,13.477875,13.381632,13.324203,13.283651,13.245287,13.516253,13.339497,13.12574,13.8388,13.440482,13.1177225,13.0451975,13.400232,13.121456,13.249923,13.253988,12.809852,13.175333,13.40532,13.03835,13.279072,13.216749,13.010954,13.385988,13.340663,13.554256,12.871963,12.985722,13.237562,13.265006,12.8965435,12.962824,12.933828,13.615866,13.194211,12.920311,13.088261,13.191245,13.106092,12.946436,13.267112,13.192077,13.131883,13.1258135,13.338575,13.239381,13.256609,13.174821,13.752148,13.457993,13.211861,12.860063,12.971437,13.204288,12.918476,13.311405,13.336655,13.151115,13.266295,13.412823,13.59033,13.186594,13.284582,12.984157,13.628431,13.232686,13.366573,13.200567,13.130347,13.208484,13.176307,13.315573,13.06191,13.0542,13.171804,13.311646,13.173028,13.344908,12.900749,12.904358,13.406876,12.78959,12.725948,13.080659,13.4859495,13.059327,12.778352,13.123859,13.064694,13.381655,13.504164,13.178494,12.845051,12.865798,13.165192,12.910257,13.113597,13.090873,13.105976,12.974154,12.981228,12.550627,13.4355545,13.309245,13.12717,13.210676,13.280269
tRNA-Glu-TTC-3-1,7.603547,7.2738514,7.7106605,6.8602247,7.2107425,6.8893948,7.670996,6.9809313,7.841445,7.1655726,8.337719,7.0540576,7.789787,7.5948086,6.6935644,7.5153213,7.2388725,6.4967456,7.4321837,7.6955295,8.077268,7.3550515,8.616787,8.38866,8.193906,7.836899,7.7868056,7.87294,7.1182547,8.040351,7.346836,7.760988,7.7143,7.7432747,7.5408864,8.116313,7.629795,7.9795513,7.0850906,7.758547,7.6420565,7.332448,6.396568,7.2063394,7.974797,7.4087586,7.949569,7.0075064,6.670153,7.264736,7.663688,5.994794,6.929597,7.8365784,9.432869,7.5410585,7.4256964,6.7140536,7.6595597,7.7761564,7.7104645,7.3758307,7.6124783,8.778055,7.1402693,7.02925,6.7250133,7.7684584,7.086448,7.852851,7.7394166,8.089904,7.7118382,7.17239,7.657373,7.7175684,6.815508,7.502903,7.145705,7.7799177,6.960153,7.768325,7.6067004,8.615272,6.378417,8.354154,6.8024025,8.031246,6.2777724,8.009249,7.1036153,7.2299237,8.325147,8.206326,7.134359,6.11541,7.4183564,7.994556,8.232849,7.6220155,7.584769,7.6334763,7.85856,7.926758,8.216507,6.129524,8.070401,8.065569,6.4265714,7.420655,6.738695,7.142664,7.9649663,8.536702,7.011101,7.305693,6.855645,8.278413,7.0350456,6.5675945,8.642694,8.481864,7.925031,6.928094,7.6284056,7.953047,7.5485034,7.6875067,7.82994,8.063066,7.2016397,7.672935,7.5307612,7.4607635,7.506089,6.951105,6.812802,8.129892,6.992212,7.6285043
tRNA-Asn-GTT-4-1,5.332622,4.610892,5.883259,7.0740943,4.193617,5.6821046,4.9348025,5.752522,6.435714,6.638217,5.886925,5.3415656,6.0648613,4.921036,5.15323,6.1682606,5.699708,6.06259,4.646871,5.941474,5.847752,4.257725,5.6054444,5.6211634,5.04859,6.2459927,6.6936502,4.7320285,7.4647045,5.9300327,6.8719625,5.888264,6.5600066,5.4264874,5.4412403,6.2476444,5.6028543,5.2449994,4.7972436,7.6927953,4.884892,5.663242,5.0450125,4.943225,5.751842,6.7964287,4.8241005,6.508263,5.767416,5.928344,5.5307555,5.496091,5.1627855,6.821109,5.8477807,6.7711725,5.361346,7.1461263,6.529691,5.5494075,5.8941145,6.392268,5.471063,6.24529,7.0051465,6.563457,5.667231,5.774111,6.014239,5.8818836,6.362377,6.0404873,5.4108267,4.797761,6.5534496,6.3019443,5.2952194,4.4557376,5.7011313,5.3172927,5.9595394,5.0760336,3.864779,5.8534226,6.6023307,5.3648353,5.6507177,5.344971,4.9043384,5.152952,7.156753,5.3558917,5.233844,5.011028,6.595895,5.637045,7.088664,5.450428,6.110208,5.7083516,6.3574185,6.1036344,6.887753,4.901422,6.136489,5.791004,5.817808,4.9827075,5.324063,6.2561946,5.5675592,5.4943485,6.236731,5.6063633,4.722212,5.249727,6.971389,5.4237933,5.6918306,5.148116,6.629366,6.322647,4.8914967,6.218455,5.2049,5.6786346,5.978131,5.84552,7.138108,6.075221,5.013871,5.277506,6.402593,6.3469434,6.2502036,5.243573,4.578911,5.2127404,5.1829195,6.5901294
tRNA-Lys-CTT-7-1,7.248088,7.0358915,7.025207,7.24529,7.0804524,6.9140153,7.0046024,7.109433,7.1728134,7.0261374,6.8713546,6.990852,7.273616,7.1291466,6.8585067,7.031551,7.0004597,6.80545,7.0531836,6.9005623,7.220157,6.8655553,7.0928035,7.064418,7.217235,7.113423,6.980582,6.908141,6.8401256,7.153808,6.895902,7.0364027,7.1992607,7.2943354,7.367931,6.9501376,7.270072,7.190708,7.345918,7.036023,7.1989727,6.915857,7.159326,7.1817093,6.6747813,6.8556805,7.1030245,7.2821684,7.2949743,7.120262,7.1025105,7.352393,7.2063227,7.178154,7.0775876,7.2120905,7.243297,7.134804,7.188323,7.234087,7.0918326,7.3627186,7.071485,7.136768,6.904535,6.813288,6.8722177,7.3038077,6.930469,6.9745765,7.1828027,6.853057,7.0675364,7.0975,7.132201,7.244464,6.8657556,7.2174153,7.2051578,7.032379,6.914106,7.135331,6.778464,6.8393416,6.836146,6.966838,6.961399,6.986966,6.700077,6.809936,7.0020056,7.045764,7.028823,7.2037115,7.0038157,6.8011866,6.8997,7.041407,7.051534,6.866846,7.155227,7.3443894,7.3013515,7.019332,7.0249033,7.2565746,6.873485,7.2649045,7.110739,6.8843207,7.181196,6.909126,7.126262,7.0917478,6.9947166,6.759501,6.760996,7.0148687,6.928652,7.1815386,7.24673,7.2042427,6.923169,7.231837,7.0280385,6.865808,6.808005,6.9363356,6.8595624,7.1248326,7.3216352,6.9655294,6.9719234,6.905079,7.172494,6.7403903,6.901424,7.0105476,7.107317,7.3110075
tRNA-Cys-GCA-7-1,9.528166,9.58243,9.034738,8.573852,9.077739,9.599187,9.451127,9.499111,9.323172,9.715595,9.358343,9.75865,9.1624365,9.123561,9.727605,9.6514635,9.560597,9.414967,8.961151,9.408173,8.973526,9.47749,9.2981415,8.992601,8.793179,9.150417,9.342037,9.219023,9.022087,9.121458,9.549371,9.499288,8.618257,8.8452425,8.9057865,8.80914,9.103006,8.757139,8.582349,8.832892,8.916516,8.353833,8.724939,9.285835,9.405679,9.010755,9.535941,8.679784,8.828312,9.111444,9.047349,9.025059,9.497726,8.6396475,8.943795,8.493578,8.726526,8.91917,8.434745,8.917496,9.58008,9.523119,9.235954,9.601938,9.613545,9.231243,8.842628,9.288499,8.9261265,9.477233,8.9804325,8.881491,9.223029,9.019868,9.949296,9.9294815,9.128676,9.375386,9.148542,9.239367,9.307439,9.217422,9.157601,8.836726,9.56061,8.965439,8.563625,9.543553,8.820636,8.995269,9.211803,8.799979,8.96099,9.669492,8.999825,9.12544,9.23391,8.716444,8.794049,8.467208,8.708404,9.481832,9.541091,9.138335,9.233238,9.072609,9.340463,9.371694,9.006828,9.187877,8.784959,9.186769,10.194809,9.465307,9.592408,9.981132,9.399026,9.685196,8.957971,9.412018,9.333663,9.329068,9.385176,8.832883,8.830674,9.565875,9.235135,9.063061,10.43314,9.22701,8.997041,9.597655,9.363285,8.667326,9.778314,9.148712,8.70278,9.721749,9.373621,9.08971
tRNA-Arg-TCT-1-1,13.792446,11.95119,14.087116,16.437502,13.266639,13.72558,14.049721,13.5736,13.554626,13.0146475,14.031516,13.909567,15.218429,13.903934,14.149473,14.666076,12.824225,12.472358,12.34288,13.158587,14.246355,14.298193,13.845639,13.88024,13.470543,15.196253,13.037543,14.113552,14.4108715,14.072954,14.601037,16.514915,15.159537,13.694064,15.470238,15.081931,14.758554,17.12419,12.173574,14.217414,12.607881,12.862136,13.503824,13.122496,10.477237,14.021096,15.031704,13.938661,14.41285,14.260949,14.448281,15.735203,15.537662,15.845575,14.683821,14.298224,14.683754,15.181923,14.784129,13.558336,13.998847,15.871122,13.980053,15.756436,13.675269,12.660161,15.186128,16.01508,15.189989,14.973309,16.28269,13.115115,13.993681,14.613063,14.831417,14.707686,14.924432,15.350191,16.921343,13.397218,15.865035,13.741478,14.815393,14.679285,14.499754,14.172563,15.363771,15.3970175,14.091852,13.928501,12.952947,13.982171,14.578372,12.15395,14.410391,12.224644,12.621251,15.796247,16.433174,14.034629,14.663977,12.431215,15.586278,13.80959,13.344291,16.049747,13.745627,16.066734,13.497562,12.561401,13.224164,14.354079,12.379732,17.281229,15.467743,13.411229,14.781245,14.016968,13.5101595,15.837761,15.435257,15.987752,16.18722,14.293572,15.2796755,11.495892,13.905883,14.323784,14.057242,15.17352,14.169712,13.605564,14.673654,14.278196,14.414592,12.342263,12.413836,14.9645195,14.937447,16.406063
