group1,group2,value
tRNA-Glu-TTC-4-1,CN34-Par-1,1
tRNA-Glu-TTC-1-2,CN34-Par-1,1
tRNA-Glu-TTC-1-1,CN34-Par-1,1
tRNA-Glu-TTC-2-1,CN34-Par-1,1
tRNA-Glu-TTC-4-1,CN34-Par-2,1
tRNA-Glu-TTC-1-2,CN34-Par-2,1
tRNA-Glu-TTC-1-1,CN34-Par-2,1
tRNA-Glu-TTC-2-1,CN34-Par-2,1
tRNA-Glu-TTC-4-1,CN34-LM1a-1,1.30076399
tRNA-Glu-TTC-1-2,CN34-LM1a-1,1.397744687
tRNA-Glu-TTC-1-1,CN34-LM1a-1,1.097285434
tRNA-Glu-TTC-2-1,CN34-LM1a-1,1.304749565
tRNA-Glu-TTC-4-1,CN34-LM1a-2,1.303486561
tRNA-Glu-TTC-1-2,CN34-LM1a-2,1.366518704
tRNA-Glu-TTC-1-1,CN34-LM1a-2,1.10069106
tRNA-Glu-TTC-2-1,CN34-LM1a-2,1.280312419
