gene_id,tRNA-Arg-TCT-4-1,group,,,,,,
Cerebellum Astrocytes,1402.8495,2,,,,,,
Cerebellum Granule neurons,652.6865,2,,,,,,
Cerebellum Inhibitory interneurons,9499.228,2,,,,,,
Cerebellum Microglia,38658.773,2,,,,,,
Cerebellum Oligodendrocytes,4164.77,2,,,,,,1.37938E-05
Cerebellum Purkinje neurons,2983.8083,2,,,,,,
Cerebellum SLC24A4_PEX5L positive cells,888.17236,2,,,,,,
Cerebellum Unipolar brush cells,2891.9397,2,,,,,,
Cerebrum Astrocytes,3093.9434,2,,,,,,
Cerebrum Excitatory neurons,9668.54,2,,,,,,
Cerebrum Inhibitory neurons,4234.5493,2,,,,,,
Cerebrum Limbic system neurons,1095.5697,2,,,,,,
Cerebrum Microglia,10630.615,2,,,,,,
Cerebrum Oligodendrocytes,2646.1943,2,,,,,,
Cerebrum SKOR2_NPSR1 positive cells,2140.4504,2,,,,,,
Eye Amacrine cells,7485.394,2,,,,,,
Eye Bipolar cells,1958.8057,2,,,,,,
Eye Ganglion cells,6725.365,2,,,,,,
Eye Horizontal cells,3108.7285,2,,,,,,
Eye PDE11A_FAM19A2 positive cells,7284.562,2,,,,,,
Eye Photoreceptor cells,2634.1694,2,,,,,,
Eye Retinal pigment cells,8236.084,2,,,,,,
Intestine ENS neurons,10308.616,2,,,,,,
Eye Retinal progenitors and Muller glia,8753.296,2,,,,,,
Heart Visceral neurons,7083.3003,2,,,,,,
Lung Neuroendocrine cells,1610.3613,2,,,,,,
Lung Visceral neurons,3230.7786,2,,,,,,
Pancreas ENS neurons,6485.9927,1,,,,,,
Adrenal Adrenocortical cells,11574.612,1,,,,,,
Adrenal Chromaffin cells,11480.224,1,,,,,,
Adrenal Erythroblasts,1462.5931,1,,,,,,
Adrenal Lymphoid cells,735.85333,1,,,,,,
Adrenal Megakaryocytes,1080.3942,1,,,,,,
Adrenal Myeloid cells,8963.542,1,,,,,,
Adrenal Schwann cells,936.7059,1,,,,,,
Adrenal Stromal cells,853.9753,1,,,,,,
Adrenal Sympathoblasts,2759.7515,1,,,,,,
Adrenal Vascular endothelial cells,3231.8445,1,,,,,,
Cerebellum Vascular endothelial cells,1629.2438,1,,,,,,
Cerebrum Vascular endothelial cells,2954.1868,1,,,,,,
Eye Stromal cells,261.26212,1,,,,,,
Eye Vascular endothelial cells,6286.5737,1,,,,,,
Heart Cardiomyocytes,2110.997,1,,,,,,
Heart ELF3_AGBL2 positive cells,3521.622,1,,,,,,
Heart Endocardial cells,3385.484,1,,,,,,
Heart Epicardial fat cells,985.3929,1,,,,,,
Heart Lymphatic endothelial cells,3152.9907,1,,,,,,
Heart Lymphoid cells,493.5019,1,,,,,,
Heart Megakaryocytes,550.9322,1,,,,,,
Heart Myeloid cells,1419.9425,1,,,,,,
Heart SATB2_LRRC7 positive cells,5164.881,1,,,,,,
Heart Schwann cells,604.1795,1,,,,,,
Heart Smooth muscle cells,720.58215,1,,,,,,
Heart Stromal cells,1314.0619,1,,,,,,
Heart Vascular endothelial cells,1986.4523,1,,,,,,
Intestine Chromaffin cells,3105.077,1,,,,,,
Intestine ENS glia,4743.5894,1,,,,,,
Intestine Intestinal epithelial cells,1807.0262,1,,,,,,
Intestine Lymphatic endothelial cells,3592.7434,1,,,,,,
