gene_id,average_length
ENSG00000187634.9,2373
ENSG00000188976.9,2250
ENSG00000187583.9,1853
ENSG00000188290.9,660
ENSG00000187608.7,498
ENSG00000131591.16,925
ENSG00000162571.12,1618.5
ENSG00000186891.12,733
ENSG00000186827.9,873
ENSG00000078808.15,1047
ENSG00000176022.4,990
ENSG00000160087.19,744
ENSG00000131584.17,2505
ENSG00000169972.10,912
ENSG00000127054.17,1669.8
ENSG00000107404.16,2050.5
ENSG00000162576.15,1252.5
ENSG00000175756.12,600
ENSG00000242485.4,450
ENSG00000179403.11,766.5
ENSG00000160072.18,1947
ENSG00000197785.12,1730
ENSG00000160075.11,585
ENSG00000078369.16,873
ENSG00000178821.11,630
ENSG00000187730.7,1359
ENSG00000067606.14,1492
ENSG00000162585.15,491.25
ENSG00000157933.9,2187
ENSG00000116151.12,1273.5
ENSG00000157911.8,1011
ENSG00000157881.12,2322
ENSG00000157870.13,545
ENSG00000130762.13,2130
ENSG00000158109.13,819
ENSG00000116213.14,1383
ENSG00000078900.13,1556.666667
ENSG00000162592.7,1971
ENSG00000130764.8,1752
ENSG00000169598.14,1053
ENSG00000198912.9,732
ENSG00000196581.9,1236
ENSG00000069424.13,1079.25
ENSG00000116254.16,5865
ENSG00000116251.8,387
ENSG00000158286.11,1905
ENSG00000116237.14,855
ENSG00000158292.6,1830
ENSG00000097021.18,1074.75
ENSG00000187017.13,2565
ENSG00000215788.8,1100.4
ENSG00000171680.19,3043.5
ENSG00000162408.10,2109
ENSG00000173662.18,2145
ENSG00000204859.10,2067
ENSG00000116273.5,903
ENSG00000041988.14,655
ENSG00000007923.14,1680
ENSG00000049245.11,303
ENSG00000049246.13,3605
ENSG00000049247.12,397.5
ENSG00000049249.7,768
ENSG00000116288.11,570
ENSG00000116285.11,1389
ENSG00000142599.16,3870
ENSG00000074800.12,1305
ENSG00000197241.3,1539
ENSG00000142583.16,1120.5
ENSG00000180758.11,1008
ENSG00000049239.11,2392.5
ENSG00000171621.12,822
ENSG00000171612.6,966
ENSG00000171608.14,3133.5
ENSG00000171603.15,2931
ENSG00000178585.13,246
ENSG00000162441.10,573
ENSG00000173614.12,661.5
ENSG00000162444.11,405
ENSG00000130939.17,3831
ENSG00000054523.15,4742
ENSG00000142657.19,1452
ENSG00000241563.3,318
ENSG00000160049.10,901.5
ENSG00000130940.13,4390.5
ENSG00000120948.14,1245
ENSG00000009724.15,1309.5
ENSG00000116649.8,909
ENSG00000171824.12,2620.5
ENSG00000198793.11,7650
ENSG00000171819.4,1041
ENSG00000120942.12,778.5
ENSG00000116661.9,891
ENSG00000132879.12,738
ENSG00000116663.9,882
ENSG00000116670.13,636
ENSG00000162490.6,1050
ENSG00000177674.14,437.4
ENSG00000177000.9,2052
ENSG00000011021.20,2577
ENSG00000175206.9,456
ENSG00000120937.8,405
ENSG00000116685.14,1905
ENSG00000083444.15,2184
ENSG00000116691.9,1167
ENSG00000120949.13,1620
ENSG00000028137.15,1386
ENSG00000162496.7,909
ENSG00000157330.8,528
ENSG00000116731.21,3428
ENSG00000189337.14,1456.5
ENSG00000171729.12,585
ENSG00000142634.11,723
ENSG00000162438.10,807
ENSG00000142615.7,810
ENSG00000132906.16,1018
ENSG00000116771.5,1059
ENSG00000162461.7,915
ENSG00000162458.11,1026
ENSG00000065526.9,10995
ENSG00000116809.10,2337
ENSG00000183888.4,510
ENSG00000186510.10,2020
ENSG00000184908.16,1809
ENSG00000142627.12,2931
ENSG00000142632.15,2409
ENSG00000132881.10,777
ENSG00000187144.10,1375.5
ENSG00000157191.18,776
ENSG00000117122.12,550.5
ENSG00000159363.16,3516
ENSG00000117118.8,843
ENSG00000117115.11,1998
ENSG00000142623.9,1992
ENSG00000142619.4,1995
ENSG00000159339.12,1992
ENSG00000179051.12,1569
ENSG00000074964.15,3781.5
ENSG00000117148.7,1101
ENSG00000117154.10,1404
ENSG00000179023.8,2334
ENSG00000009709.10,1546
ENSG00000159423.15,1581
ENSG00000127481.13,15552
ENSG00000127463.12,2967
ENSG00000053372.4,720
ENSG00000162482.4,996
ENSG00000053371.11,1080
ENSG00000040487.11,778.5
ENSG00000158748.3,1323
ENSG00000162542.12,1905
ENSG00000178828.6,684
ENSG00000188257.9,435
ENSG00000127472.9,417
ENSG00000117215.13,313.5
ENSG00000158786.4,636
ENSG00000162543.5,843
ENSG00000162545.5,237
ENSG00000090432.6,1059
ENSG00000183114.7,990
ENSG00000158825.5,441
ENSG00000158828.5,1746
ENSG00000244038.8,1320
ENSG00000117245.11,2989
ENSG00000075151.18,4296
ENSG00000117298.13,2289.75
ENSG00000142794.17,1798.5
ENSG00000162551.12,1443
ENSG00000076864.18,2117.25
ENSG00000219073.6,813
ENSG00000142789.18,813
ENSG00000070831.14,576
ENSG00000162552.13,1056
ENSG00000184677.15,3552
ENSG00000070886.9,2253
ENSG00000173372.15,738
ENSG00000159189.10,604.5
ENSG00000133216.15,3031
ENSG00000179546.4,1134
ENSG00000125944.17,1738.8
ENSG00000125945.13,1413
ENSG00000088280.17,2698.5
ENSG00000007968.6,1314
ENSG00000117318.8,360
ENSG00000142676.11,535.5
ENSG00000011007.11,2319
ENSG00000057757.8,636
ENSG00000011009.9,696
ENSG00000117308.13,1047
ENSG00000117305.13,871.5
ENSG00000179163.11,1401
ENSG00000188822.7,1083
ENSG00000189266.10,420
ENSG00000142677.3,1725
ENSG00000185436.10,1258
ENSG00000158055.14,1796.25
ENSG00000001460.16,934.5
ENSG00000117602.10,532.5
ENSG00000133226.15,2737.2
ENSG00000169504.13,762
ENSG00000020633.17,1269
ENSG00000117614.8,669
ENSG00000117616.16,873
ENSG00000187010.17,1245.428571
ENSG00000183726.9,474
ENSG00000117643.13,1549.5
ENSG00000127423.9,1095
ENSG00000182749.5,1041
ENSG00000117632.19,487.5
ENSG00000158006.12,1179
ENSG00000158008.8,2031
ENSG00000158014.13,1045.5
ENSG00000158022.6,1062
ENSG00000175087.8,1026
ENSG00000142684.7,405
ENSG00000142675.16,1891
ENSG00000130695.12,2237
ENSG00000142669.12,282
ENSG00000176083.16,1545
ENSG00000131914.9,630
ENSG00000117682.15,948
ENSG00000198830.9,273
ENSG00000117676.12,2201
ENSG00000117713.16,6532.5
ENSG00000060642.9,949.5
ENSG00000175793.11,747
ENSG00000142751.13,933
ENSG00000198746.11,1578
ENSG00000131910.4,774
ENSG00000090273.12,996
ENSG00000175707.8,1197
ENSG00000158246.7,1278
ENSG00000090020.9,2448
ENSG00000142784.14,1971
ENSG00000186501.13,627
ENSG00000142765.16,1671
ENSG00000142733.13,3855
ENSG00000142748.11,883.5
ENSG00000174950.9,523.5
ENSG00000181773.6,993
ENSG00000158195.9,1171.5
ENSG00000000938.11,1590
ENSG00000126709.13,405
ENSG00000009780.14,882
ENSG00000117758.12,831
ENSG00000117751.16,690
ENSG00000117748.8,825
ENSG00000158156.7,1188
ENSG00000158161.14,1620
ENSG00000169403.10,1029
ENSG00000130770.16,240
ENSG00000130766.4,1443
ENSG00000130772.12,627
ENSG00000180098.8,864
ENSG00000188060.6,487.5
ENSG00000120656.10,564
ENSG00000162419.11,1707
ENSG00000116329.9,1119
ENSG00000159023.17,2180.181818
ENSG00000116350.14,1485
ENSG00000060656.18,4319.25
ENSG00000162510.5,1491
ENSG00000162511.7,789
ENSG00000134644.14,3564
ENSG00000084628.8,624
ENSG00000060688.11,1074
ENSG00000121766.13,630.8571429
ENSG00000121769.6,402
ENSG00000142910.14,1268
ENSG00000121764.10,1278
ENSG00000162517.11,855
ENSG00000121753.11,4723
ENSG00000134668.11,3118
ENSG00000184007.16,448
ENSG00000121774.16,1273.5
ENSG00000121775.16,1479
ENSG00000025800.12,1611
ENSG00000084652.14,1641
ENSG00000160050.13,664.5
ENSG00000160051.10,1521
